word,reading,meaning,level
ヌルヌル,ぬるぬる,slimy / slippery / greasy,
ねた,ねた,"material (for a story, article, etc.) / information / news item",
薔薇薔薇,ばらばら,scattered / disperse / loose,
バリバリ,ばりばり,stiff / starchy / crisp,
パッと,ぱっと,conspicuously / prominently / showily,
只管,ひたすら,intently / single-mindedly / devotedly,
ひっそり,ひっそり,quiet (place) / still / silent,
ひらひら,ひらひら,fluttering / flapping / waving,
ビクビク,びくびく,being afraid of / being fearful / being timid,
びしょびしょ,びしょびしょ,soaked / drenched / sopping,
ビリビリ,びりびり,(tear) to pieces / (rip) apart / (rip) up,
ピカピカ,ぴかぴか,with a glitter / with a sparkle,
ピリピリ,ぴりぴり,with a sting / with a tingle / with a burn,
ぴんぴん,ぴんぴん,lively / energetic / full of life,
ぶっきら棒,ぶっきらぼう,curt / blunt / brusque,
ぶつぶつ,ぶつぶつ,grunt / grumble / complaint,
ぶるぶる,ぶるぶる,"trembling (with fear, anger, etc.) / shivering (with cold) / shaking",
ヘトヘト,へとへと,completely exhausted / dead tired / knackered,
ベタベタ,べたべた,sticky,
ペコペコ,ぺこぺこ,very hungry / starving / famished,
ペラペラ,ぺらぺら,fluently (speaking a foreign language),
ほんのり,ほんのり,slightly / faintly,
ぼーっと,ぼーっと,in a daze / absent-mindedly / vacantly,
惚け,ぼけ,fool / idiot,
ボロボロ,ぼろぼろ,worn-out / ragged / tattered,
ぽかぽか,ぽかぽか,pleasantly warm / nice and warm,
ポタポタ,ぽたぽた,dripping / trickling / drop by drop,
ムカムカ,むかむか,feeling sick / feeling queasy / feeling nauseated,
むっつり,むっつり,sullenly / taciturnly / morosely,
持て成し,もてなし,hospitality / reception / treatment,
ヤクザ,やくざ,(member of the) yakuza / gangster / mobster,
やり繰り,やりくり,making do / getting by (somehow) / managing,
やり取り,やりとり,giving and taking / exchange (of letters) / arguing back and forth,
やり方,やりかた,way (of doing) / manner / method,
ゆっくり,ゆっくり,slowly / unhurriedly / without haste,
揺ら揺ら,ゆらゆら,swaying / swinging / rocking,
ヨチヨチ,よちよち,totteringly / with tottering steps / toddling,
よろよろ,よろよろ,tottering / staggering / faltering,
列記,れっき,list / enumeration,
わくわく,わくわく,to be excited / to be nervous / to be thrilled,
アーク,あーく,arc,
アーケード,あーけーど,arcade (street),
アースデー,あーすでー,Earth Day (April 22),
アーチ,あーち,arch,
アーチェリー,あーちぇりー,archery,
アーティスト,あーてぃすと,artist / musician,
アート,あーと,art,
アーバン,あーばん,urban,
アーム,あーむ,arm,
アーモンド,あーもんど,almond (Prunus dulcis),
アールデコ,あーるでこ,art deco,
アイシャドウ,あいしゃどう,eyeshadow,
アイス,あいす,ice,
アイゼン,あいぜん,metal pins of climbing shoes / crampons / climbing irons,
アイテム,あいてむ,item,
アイドル,あいどる,performer (usu. in a boy band or girl group) with an image cultivated to foster a dedicated fan following / Japanese idol,
アイヌ,あいぬ,Ainu,
アイボリー,あいぼりー,ivory,
アイライン,あいらいん,eyeliner,
アイリス,あいりす,iris,
アウトドア,あうとどあ,outdoors,
アウトバーン,あうとばーん,"autobahn (highway in Germany, Austria and Switzerland)",
アウトレット,あうとれっと,outlet (store),
アウトロー,あうとろー,outlaw,
アカシア,あかしあ,acacia,
アカデミー,あかでみー,academy,
アカデミズム,あかでみずむ,academism,
アカデミック,あかでみっく,academic,
アキレス腱,あきれすけん,Achilles' heel / vulnerable point,
アクアトロン,あくあとろん,artificial environment control for aquatic plants and animals,
アクシデント,あくしでんと,accident,
アクション,あくしょん,action,
アクセス,あくせす,"access (to a place, esp. using public transport)",
アクティブ,あくてぃぶ,active,
アクトレス,あくとれす,actress,
アクリル,あくりる,acrylic (esp. fibre or resin),
アクロバット,あくろばっと,acrobat,
アグレッシブ,あぐれっしぶ,aggressive,
アコード,あこーど,accord,
アシスタント,あしすたんと,assistant,
アシスト,あしすと,assistance / help,
アジ,あじ,agitation,
亜細亜,あじあ,Asia,
アジト,あじと,hideout / secret base of operations / safe house,
アスパラガス,あすぱらがす,asparagus,
アスピーテ,あすぴーて,aspite / shield volcano,
アスピリン,あすぴりん,aspirin,
アスファルト,あすふぁると,asphalt,
アスベスト,あすべすと,asbestos,
アスリート,あすりーと,athlete,
アスレチック,あすれちっく,athletics / sports,
アセス,あせす,assessment,
アセスメント,あせすめんと,assessment,
アタック,あたっく,attack (on a difficult task) / tackling / confronting,
アダプター,あだぷたー,adapter,
アダルト,あだると,adult,
アチーブ,あちーぶ,achievement test,
アット,あっと,@ sign / at sign,
アッパー,あっぱー,upper / upward,
アップル,あっぷる,apple,
アトム,あとむ,atom,
アトリエ,あとりえ,atelier / studio / workshop,
アド,あど,ad / advertisement,
アドバイザー,あどばいざー,adviser / advisor,
アドバイス,あどばいす,advice,
アドバルーン,あどばるーん,advertising balloon,
アドリブ,あどりぶ,ad lib / ad-lib,
アドレス,あどれす,address,
アドレナリン,あどれなりん,adrenalin,
アナ,あな,announcer,
アナーキー,あなーきー,anarchy,
アナウンス,あなうんす,announcement (esp. over public-address system),
アナリスト,あなりすと,analyst,
アナログ,あなろぐ,analog / analogue,
アニーリング,あにーりんぐ,annealing,
アニマル,あにまる,animal,
アニメ,あにめ,animation / animated film / animated cartoon,
アバウト,あばうと,approximate (number) / rough (calculation),
アパッチ,あぱっち,Apache (people),
アビタシオン,あびたしおん,habitation,
アピール,あぴーる,appeal (e.g. for peace) / plea / request,
アフェア,あふぇあ,affair,
アフター,あふたー,socializing (with a host or hostess) outside the club,
アフタヌーン,あふたぬーん,afternoon,
アブサン,あぶさん,absinthe,
アベック,あべっく,back-to-back (e.g. home runs) / dual (e.g. victory) / tandem (e.g. flight),
アベニュー,あべにゅー,avenue / boulevard,
アベレージ,あべれーじ,average,
アペタイザー,あぺたいざー,appetizer / appetiser,
アボリジニ,あぼりじに,(Australian) Aborigine / Aboriginal Australian,
アマ,あま,amateur,
アマン,あまん,lover,
アミ,あみ,friend,
アミノ酸,あみのさん,amino acid,
アムール,あむーる,love,
アムネスティ,あむねすてぃ,amnesty,
アメーバ,あめーば,amoeba / ameba,
アメニティ,あめにてぃ,amenity,
アメフト,あめふと,American football,
アメリカン,あめりかん,American,
アメリカ人,あめりかじん,American (person),
アラー,あらー,Allah,
アラウンド,あらうんど,around,
アラカルト,あらかると,à la carte,
アリーナ,ありーな,arena,
アリバイ,ありばい,alibi,
アルカイスム,あるかいすむ,archaism,
アルカディア,あるかでぃあ,arcadia,
亜爾加里,あるかり,alkali,
アルコーブ,あるこーぶ,alcove,
アルデヒド,あるでひど,aldehyde,
アルバトロス,あるばとろす,albatross (seabird),
アルパイン,あるぱいん,alpine,
アルブミン,あるぶみん,albumin,
アルプス,あるぷす,the Alps,
アルマジロ,あるまじろ,armadillo,
アルミサッシ,あるみさっし,aluminium sash / aluminum sash / aluminium window frame,
アルミニウム,あるみにうむ,aluminium (Al) / aluminum,
アルミホイル,あるみほいる,aluminum foil / aluminium foil / tin foil,
アル中,あるちゅう,alcoholism,
アレイ,あれい,array,
アレンジ,あれんじ,"arrangement (of music) / adaptation (of a story, recipe, etc.) / interpretation",
アロハ,あろは,aloha shirt,
アンカー,あんかー,(ship's) anchor,
アングラ,あんぐら,"underground (film, theater, etc.) / unconventional / alternative",
アングル,あんぐる,angle,
アンサンブル,あんさんぶる,ensemble (of clothes) / outfit / suit,
アンジェラス,あんじぇらす,angelus,
アンソロジー,あんそろじー,anthology,
アンダー,あんだー,under,
アンチ,あんち,hater,
アンチテーゼ,あんちてーぜ,antithesis,
アンティーク,あんてぃーく,antique,
アンドロイド,あんどろいど,android,
アンバランス,あんばらんす,unbalance / imbalance,
アンフェア,あんふぇあ,unfair,
アンプ,あんぷ,amp / ampere,
アンペア,あんぺあ,ampere,
アンモナイト,あんもないと,ammonite (extinct spiral shelled cephalopod),
安母尼亜,あんもにあ,ammonia,
イーグル,いーぐる,eagle (bird),
イージー,いーじー,easy,
イースター,いーすたー,Easter,
イーブン,いーぶん,even,
イエロー,いえろー,yellow,
英吉利,いぎりす,United Kingdom / UK / Britain,
イコン,いこん,icon (religious),
以色列,いすらえる,Israel,
イスラム,いすらむ,Islam,
伊太利,いたりあ,Italy,
イット,いっと,"""it"" / sex appeal",
イデオロギー,いでおろぎー,ideology,
イブ,いぶ,eve (esp. Christmas Eve) / the night before,
イブニング,いぶにんぐ,evening,
イベント,いべんと,event,
イヤホン,いやほん,earphones / earphone,
イヤリング,いやりんぐ,earring,
伊拉久,いらく,Iraq,
イラスト,いらすと,illustration / picture / sketch,
イリノイ,いりのい,Illinois,
イレブン,いれぶん,eleven,
英蘭,いんぐらんど,England,
インサイダー,いんさいだー,insider,
インスタント,いんすたんと,instant,
インター,いんたー,interchange,
インターン,いんたーん,intern / internship,
インチキ,いんちき,cheating / fraud / trickery,
インテリア,いんてりあ,"interior (of building, room, vehicle, etc.)",
インディアナ,いんでぃあな,Indiana,
インディアン,いんでぃあん,(American) Indian / Native American,
インデックス,いんでっくす,index,
イントロ,いんとろ,intro / introduction,
印度,いんど,India,
インドア,いんどあ,indoor,
印度支那,いんどしな,Indochina,
印度尼西亜,いんどねしあ,Indonesia,
インパクト,いんぱくと,impact (on) / (strong) impression / effect,
インフラ,いんふら,infrastructure,
インプット,いんぷっと,input,
インペリアル,いんぺりある,imperial,
インボイス,いんぼいす,tax invoice / qualified invoice,
インポート,いんぽーと,import / imported goods,
ウィーク,うぃーく,week,
ウィークデー,うぃーくでー,weekday,
ウィークリー,うぃーくりー,weekly,
ウインカー,ういんかー,(car) turn signal / blinker / indicator,
ウィンター,うぃんたー,winter,
ウィンドウ,うぃんどう,window (shop display),
ウインド,ういんど,wind,
ウイット,ういっと,wit,
ウィリー,うぃりー,wheelie,
ウイルス,ういるす,virus,
ウインク,ういんく,wink,
ウイング,ういんぐ,"wing (of a bird, aircraft, etc.)",
ウェイト,うぇいと,weight / body weight,
ウェイトレス,うぇいとれす,waitress,
ウェーバー,うぇーばー,waiver,
ウェールズ,うぇーるず,Wales,
ウェイ,うぇい,way,
ウェーブ,うぇーぶ,wave (on water),
ウエスタン,うえすたん,Western (film genre),
ウエスト,うえすと,waist / waistline / waist measurement,
ウェット,うぇっと,wet / moist,
ウェルカム,うぇるかむ,welcome,
ウォーカソン,うぉーかそん,walkathon,
ウォッカ,うぉっか,vodka,
ワッシャー,わっしゃー,washer,
ウォン,うぉん,won (currency of North Korea and South Korea),
ウォッチング,うぉっちんぐ,watching,
烏克蘭,うくらいな,Ukraine,
ウクレレ,うくれれ,ukulele,
ウッド,うっど,wood,
ウラン,うらん,uranium (U),
宇柳貝,うるぐあい,Uruguay,
エーカー,えーかー,acre,
エージェント,えーじぇんと,agent,
エース,えーす,ace / hotshot / top dog,
エール,えーる,yell (of encouragement) / cheering (esp. for a school sports team),
エア,えあ,air,
エアコン,えあこん,air conditioner / air conditioning / aircon,
エアゾール,えあぞーる,aerosol spray,
エアバス,えあばす,airbus (short-haul passenger aircraft),
エアバッグ,えあばっぐ,air bag,
エアライフル,えあらいふる,air rifle,
エアロビクス,えあろびくす,aerobics,
エイト,えいと,eight,
エイリアン,えいりあん,alien,
エキサイト,えきさいと,excite,
越幾斯,えきす,"extract (of plants, meat, etc.) / essence / concentrate",
エクストラ,えくすとら,extra (e.g. in a film) / supernumerary,
エキスパート,えきすぱーと,expert,
エキスポ,えきすぽ,expo / exposition,
エキゾチック,えきぞちっく,exotic,
厄瓜多,えくあどる,Ecuador,
エクイタブル,えくいたぶる,equitable,
エクスプレス,えくすぷれす,express,
エクソシスト,えくそしすと,exorcist,
エコー,えこー,echo,
エコノミー,えこのみー,economy / economics / finance,
エコノミスト,えこのみすと,economist,
エコロジー,えころじー,ecology,
エゴ,えご,ego,
エゴイズム,えごいずむ,egoism,
埃及,えじぷと,Egypt,
エスカレート,えすかれーと,escalation,
エスキモー,えすきもー,Eskimo,
エスクワイア,えすくわいあ,esquire,
エスコート,えすこーと,escort,
エステート,えすてーと,estate,
エストニア,えすとにあ,Estonia,
エストロゲン,えすとろげん,estrogen,
エスニック,えすにっく,ethnic,
エスプリ,えすぷり,spirit,
エスペラント,えすぺらんと,Esperanto,
エチレン,えちれん,ethylene,
エッジ,えっじ,edge,
エッセイ,えっせい,essay,
エッセイスト,えっせいすと,essayist,
エッセンス,えっせんす,essence / extract,
エッチング,えっちんぐ,etching,
エディション,えでぃしょん,edition,
エディター,えでぃたー,editor,
エジンバラ,えじんばら,"Edinburgh (Scotland, UK)",
エデン,えでん,Eden,
エナジー,えなじー,energy,
エナメル,えなめる,enamel,
エネ,えね,energy,
エピソード,えぴそーど,episode / anecdote / vignette,
エピック,えぴっく,epic,
エホバ,えほば,Jehovah,
エポック,えぽっく,epoch,
エメラルド,えめらるど,emerald,
エラー,えらー,error,
エリート,えりーと,elite,
エリア,えりあ,area,
エルニーニョ,えるにーにょ,El Niño,
エルビウム,えるびうむ,erbium (Er),
エレガンス,えれがんす,elegance,
越歴,えれき,electricity,
エレキギター,えれきぎたー,electric guitar,
エレジー,えれじー,elegy,
エロ,えろ,erotic / pornographic / obscene,
エロス,えろす,eros / sexual desire / physical love,
エロチック,えろちっく,erotic,
エンジョイ,えんじょい,enjoying / enjoyment,
エンジェル,えんじぇる,angel,
エンダイブ,えんだいぶ,endive,
エンディング,えんでぃんぐ,ending,
エントリー,えんとりー,"entry (in an event, competition, etc.) / applying for entry / registering to participate",
エンド,えんど,end / ending,
エンドレス,えんどれす,endless,
エンバシー,えんばしー,embassy,
エンブレム,えんぶれむ,emblem,
エンペラー,えんぺらー,emperor,
オーク,おーく,oak,
オークション,おーくしょん,auction,
オークス,おーくす,oaks,
オーシャン,おーしゃん,ocean,
濠太剌利,おーすとらりあ,Australia,
オーダー,おーだー,order (for goods or services),
オーチャード,おーちゃーど,orchard,
オーディオ,おーでぃお,audio,
オート,おーと,auto / automatic,
オートロック,おーとろっく,automatic lock,
オード,おーど,ode,
オードブル,おーどぶる,party platter / assorted food tray / catering platter,
オーナー,おーなー,owner (esp. of a business),
オーバーラン,おーばーらん,overrun (e.g. on a runway) / overshoot,
オーブン,おーぶん,oven,
オープニング,おーぷにんぐ,opening / start / launch,
オープンカー,おーぷんかー,open-top car / convertible / soft-top,
オーボエ,おーぼえ,oboe,
オーラ,おーら,aura,
オールナイト,おーるないと,all-night,
オアシス,おあしす,oasis,
オカリナ,おかりな,ocarina (type of flute),
オカルト,おかると,occult,
オクラ,おくら,okra (Abelmoschus esculentus),
オクラホマ,おくらほま,Oklahoma,
オケ,おけ,orchestra,
オスカー,おすかー,Oscar / Academy Award,
オセアニア,おせあにあ,Oceania,
オゾン,おぞん,ozone,
オゾンホール,おぞんほーる,ozone hole,
オタワ,おたわ,Ottawa (Canada),
牛津,おっくすふぉーど,Oxford,
オニオン,おにおん,onion (Allium cepa),
オハイオ,おはいお,Ohio,
オピニオン,おぴにおん,opinion,
オフィシャル,おふぃしゃる,official,
オフシーズン,おふしーずん,off-season,
オフレコ,おふれこ,off-the-record,
オフロード,おふろーど,off-road,
オブザーバー,おぶざーばー,observer,
オブジェ,おぶじぇ,objet d'art / item of artwork,
オブラート,おぶらーと,"paper-thin wafer (for wrapping powdered medicine, candies, etc.)",
オプション,おぷしょん,option / choice,
オペ,おぺ,operation,
オペレーター,おぺれーたー,operator,
オムニバス,おむにばす,omnibus,
オラクル,おらくる,oracle,
阿蘭陀,おらんだ,Netherlands / Holland,
オリエンタル,おりえんたる,Oriental,
オリエント,おりえんと,Orient,
オリゴマー,おりごまー,oligomer,
オリジナル,おりじなる,original,
オリンピック,おりんぴっく,Olympics / Olympic Games,
オルグ,おるぐ,organizer / organiser,
オルゴール,おるごーる,music box / musical box,
オンエア,おんえあ,(being) on air / (being) on the air / broadcasting,
オンス,おんす,ounce,
オンパレード,おんぱれーど,display / array (of things) / succession (of things),
オンブズマン,おんぶずまん,ombudsman,
カースト,かーすと,caste,
カーチェイス,かーちぇいす,car chase,
カーディガン,かーでぃがん,cardigan,
カート,かーと,(shopping) cart,
カートリッジ,かーとりっじ,cartridge,
カーニバル,かーにばる,carnival,
カーフェリー,かーふぇりー,car ferry,
カーボン,かーぼん,carbon,
カーリング,かーりんぐ,curling,
カール,かーる,curl (of hair) / ringlet,
カーレース,かーれーす,car race,
カーン,かーん,kern,
カイト,かいと,kite,
カウチポテト,かうちぽてと,couch potato / television addict,
カウボーイ,かうぼーい,cowboy,
カウンセラー,かうんせらー,counselor / counsellor,
カウンター,かうんたー,counter / counting device,
カウント,かうんと,count / counting,
カオス,かおす,chaos,
カサカサ,かさかさ,dry and rough / desiccated,
カジノ,かじの,casino,
カジュアル,かじゅある,casual / informal,
カスタム,かすたむ,custom / custom-made / custom-built,
カスバ,かすば,kasbah / casbah / qasbah,
型録,かたろぐ,catalog / catalogue,
カッター,かったー,cutter / cutting tool,
カップル,かっぷる,couple,
カテゴリ,かてごり,category,
カテドラル,かてどらる,cathedral,
カトリシズム,かとりしずむ,Catholicism,
加特力,かとりっく,Catholic / Catholicism / Catholic Church,
カトレヤ,かとれや,cattleya (type of orchid),
カドミウム,かどみうむ,cadmium (Cd),
加奈陀,かなだ,Canada,
金糸雀,かなりあ,"canary (esp. the island canary, Serinus canaria)",
カヌー,かぬー,canoe,
カフェ,かふぇ,café / cafe / coffeehouse,
カフェイン,かふぇいん,caffeine,
カフェテリア,かふぇてりあ,cafeteria,
カフス,かふす,cuffs,
カブ,かぶ,cub,
カプセル,かぷせる,capsule,
カプラー,かぷらー,coupler,
カマーバンド,かまーばんど,cummerbund,
カム,かむ,cam,
カメレオン,かめれおん,chameleon,
カヤック,かやっく,kayak,
カラード,からーど,colored (person) / coloured,
空オケ,からおけ,karaoke,
カラチ,からち,Karachi,
カラット,からっと,carat (unit of weight for gemstones and pearls),
カラフル,からふる,colorful / colourful,
カリウム,かりうむ,potassium (K),
カリキュラム,かりきゅらむ,curriculum,
カリスマ,かりすま,"charisma (i.e. attractiveness, charm)",
加爾基,かるき,chlorinated lime / calcium hypochlorite / chloride of lime,
カルシウム,かるしうむ,calcium (Ca),
カルダモン,かるだもん,cardamom / cardamon,
カルチャー,かるちゃー,culture,
カルト,かると,cult,
カルバドス,かるばどす,calvados,
カレッジ,かれっじ,college,
カレンシー,かれんしー,currency,
カローラ,かろーら,corolla,
カロチン,かろちん,carotene,
カロライナ,かろらいな,Carolina,
カンカン,かんかん,can-can,
カンガルー,かんがるー,kangaroo,
カンザス,かんざす,Kansas,
カント,かんと,cant,
カンパ,かんぱ,fundraising campaign,
カンパニー,かんぱにー,company (i.e. business),
カンフル,かんふる,camphor,
ガーゼ,がーぜ,gauze,
ガーデン,がーでん,garden,
ガード,がーど,guarding / guard,
ガードマン,がーどまん,security guard,
ガードレール,がーどれーる,guardrail,
ガール,がーる,girl,
ガイ,がい,guy,
ガイダンス,がいだんす,guidance,
ガウシアン,がうしあん,Gaussian,
ガウン,がうん,gown / elegant dress,
ガジェット,がじぇっと,gadget,
瓦斯,がす,gas (as a fuel),
ガスタービン,がすたーびん,gas turbine,
ガスボンベ,がすぼんべ,gas cylinder,
ガスマスク,がすますく,gas mask,
ガソール,がそーる,gasohol,
ガッツ,がっつ,guts,
ガッツポーズ,がっつぽーず,"triumphant pose (assumed by an athlete, etc.)",
ガット,がっと,"gut (used to make tennis rackets, violin strings, etc.) / catgut",
ガボット,がぼっと,gavotte,
ガメラン,がめらん,gamelan (traditional Indonesian music ensemble),
硝子,がらす,glass / pane,
ガラス張り,がらすばり,glazing / fitting with glass,
ガリー,がりー,gully,
ガリウム,がりうむ,gallium (Ga),
ガリバー,がりばー,Gulliver,
ガロン,がろん,gallon,
ガン,がん,gun,
ガンガン,がんがん,throbbing (headache) / pounding / splitting,
キー,きー,key (for a lock),
キープ,きーぷ,"to keep (e.g. the lead) / to maintain (a standard, situation, etc.)",
キーホルダー,きーほるだー,keychain / key chain,
キーボード,きーぼーど,keyboard,
キーポイント,きーぽいんと,key point / the key,
キーマン,きーまん,keyman / key person (e.g. of a company),
キール,きーる,keel,
キーワード,きーわーど,key word / key phrase / clue,
キウイ,きうい,kiwifruit / kiwi fruit / kiwi,
キオスク,きおすく,kiosk,
キス,きす,kiss,
キック,きっく,kick,
キックオフ,きっくおふ,kickoff,
キッチン,きっちん,kitchen,
キット,きっと,kit,
キッド,きっど,kid,
キャスター,きゃすたー,caster,
キャスト,きゃすと,"cast (of a film, play, etc.) / cast member / role",
キャタピラ,きゃたぴら,caterpillar track / continuous track,
キャッチャー,きゃっちゃー,catcher (person or device),
キャッツアイ,きゃっつあい,cat's-eye (semiprecious stone),
キャップ,きゃっぷ,cap (hat),
キャバレー,きゃばれー,cabaret,
キャビネット,きゃびねっと,cabinet / housing (for equipment),
キャビン,きゃびん,cabin,
キャブレター,きゃぶれたー,carburetor / carburettor / carburator,
キャプション,きゃぷしょん,caption / headline / legend,
キャベツ,きゃべつ,cabbage (Brassica oleracea),
キャメル,きゃめる,camel,
キャラクター,きゃらくたー,character / personality / disposition,
キャラバン,きゃらばん,caravan,
キャリー,きゃりー,carry / carrying,
キャロル,きゃろる,carol,
キャンセル,きゃんせる,cancellation,
キャンディ,きゃんでぃ,candy / sweets,
キャンドル,きゃんどる,candle,
キャンバス,きゃんばす,canvas,
キャンパー,きゃんぱー,camper,
キャンピング,きゃんぴんぐ,camping,
キャンプイン,きゃんぷいん,beginning training camp,
キャンベラ,きゃんべら,Canberra (Australia),
キャンペーン,きゃんぺーん,"(sales) promotion / (sales, advertising) campaign",
キュー,きゅー,"cue (music, theatre, etc.)",
キュート,きゅーと,cute,
玖馬,きゅーば,Cuba,
キュリー,きゅりー,curie (unit of radioactivity),
キュレーター,きゅれーたー,curator,
キラー,きらー,killer / destroyer / annihilator,
基督,きりすと,Christ,
キリスト教,きりすときょう,Christianity,
キリル,きりる,Cyrillic,
キル,きる,kill,
キロワット,きろわっと,kilowatt / kW,
キング,きんぐ,king,
ギア,ぎあ,gear,
ギフト,ぎふと,gift,
ギブアップ,ぎぶあっぷ,give up,
ギプス,ぎぷす,plaster cast / cast,
ギャグ,ぎゃぐ,joke / gag,
