word,reading,meaning,level
アボリジニ,あぼりじに,호주 원주민,
アマ,あま,아마추어,
アマン,あまん,연인,
アミ,あみ,친구,
アミノ酸,あみのさん,아미노산,
アムール,あむーる,사랑,
アムネスティ,あむねすてぃ,사면,
アメーバ,あめーば,아메바,
アメニティ,あめにてぃ,편의 시설,
アメフト,あめふと,미식축구,
アメリカン,あめりかん,미국의,
アメリカ人,あめりかじん,미국인,
アラー,あらー,알라 신,
アラウンド,あらうんど,주변에,
アラカルト,あらかると,단품 주문,
アリーナ,ありーな,경기장,
アリバイ,ありばい,알리바이,
アルカイスム,あるかいすむ,고어,
アルカディア,あるかでぃあ,목가적 이상향,
亜爾加里,あるかり,알칼리,
アルコーブ,あるこーぶ,벽감,
アルデヒド,あるでひど,알데히드,
アルバトロス,あるばとろす,알바트로스(바다새),
アルパイン,あるぱいん,고산의,
アルブミン,あるぶみん,알부민,
アルプス,あるぷす,알프스 산맥,
アルマジロ,あるまじろ,아르마딜로(갑옷도마뱀),
アルミサッシ,あるみさっし,알루미늄 창틀,
アルミニウム,あるみにうむ,알루미늄(Al),
アルミホイル,あるみほいる,알루미늄 호일,
アル中,あるちゅう,알코올 중독,
アレイ,あれい,배열,
アレンジ,あれんじ,편곡,
アロハ,あろは,알로하 셔츠,
アンカー,あんかー,닻,
アングラ,あんぐら,언더그라운드(영화·연극 등),
アングル,あんぐる,각도,
アンサンブル,あんさんぶる,의상 세트,
アンジェラス,あんじぇらす,앙젤루스(기도),
アンソロジー,あんそろじー,선집,
アンダー,あんだー,~아래에,
アンチ,あんち,혐오자,
アンチテーゼ,あんちてーぜ,정반대,
アンティーク,あんてぃーく,골동품,
アンドロイド,あんどろいど,안드로이드,
アンバランス,あんばらんす,불균형,
アンフェア,あんふぇあ,불공평한,
アンプ,あんぷ,앰프,
アンペア,あんぺあ,암페어,
アンモナイト,あんもないと,암모나이트(멸종된 나선형 두족류),
安母尼亜,あんもにあ,암모니아,
イーグル,いーぐる,독수리,
イージー,いーじー,쉬운,
イースター,いーすたー,부활절,
イーブン,いーぶん,심지어,
イエロー,いえろー,노란색,
英吉利,いぎりす,영국,
イコン,いこん,성상화,
以色列,いすらえる,이스라엘,
イスラム,いすらむ,이슬람교,
伊太利,いたりあ,이탈리아,
イット,いっと,그것,
イデオロギー,いでおろぎー,이데올로기,
イブ,いぶ,전야(특히 크리스마스 이브),
イブニング,いぶにんぐ,저녁,
イベント,いべんと,사건,
イヤホン,いやほん,이어폰,
イヤリング,いやりんぐ,귀걸이,
伊拉久,いらく,이라크,
イラスト,いらすと,삽화,
イリノイ,いりのい,일리노이주,
イレブン,いれぶん,열한,
英蘭,いんぐらんど,잉글랜드,
インサイダー,いんさいだー,내부자,
インスタント,いんすたんと,즉각적인,
インター,いんたー,교환,
インターン,いんたーん,인턴,
インチキ,いんちき,부정행위,
インテリア,いんてりあ,"내부(건물, 방, 차량 등)",
インディアナ,いんでぃあな,인디애나주,
インディアン,いんでぃあん,(미국) 인디언,
インデックス,いんでっくす,색인,
イントロ,いんとろ,서문,
印度,いんど,인도,
インドア,いんどあ,실내의,
印度支那,いんどしな,인도차이나,
印度尼西亜,いんどねしあ,인도네시아,
インパクト,いんぱくと,영향(력),
インフラ,いんふら,기반 시설,
インプット,いんぷっと,입력,
インペリアル,いんぺりある,제국의,
インボイス,いんぼいす,세금계산서,
インポート,いんぽーと,수입,
ウィーク,うぃーく,주간,
ウィークデー,うぃーくでー,평일,
ウィークリー,うぃーくりー,주간의,
ウインカー,ういんかー,(자동차) 방향지시등,
ウィンター,うぃんたー,겨울,
ウィンドウ,うぃんどう,진열창,
ウインド,ういんど,바람,
ウイット,ういっと,재치,
ウィリー,うぃりー,앞바퀴 들기,
ウイルス,ういるす,바이러스,
ウインク,ういんく,윙크,
ウイング,ういんぐ,날개,
ウェイト,うぇいと,무게,
ウェイトレス,うぇいとれす,여종업원,
ウェーバー,うぇーばー,포기각서,
ウェールズ,うぇーるず,웨일스,
ウェイ,うぇい,길,
ウェーブ,うぇーぶ,파도,
ウエスタン,うえすたん,서부극,
ウエスト,うえすと,허리,
ウェット,うぇっと,젖은,
ウェルカム,うぇるかむ,환영,
ウォーカソン,うぉーかそん,걷기대회,
ウォッカ,うぉっか,보드카,
ワッシャー,わっしゃー,세탁기,
ウォン,うぉん,원화,
ウォッチング,うぉっちんぐ,지켜봄,
烏克蘭,うくらいな,우크라이나,
ウクレレ,うくれれ,우쿨렐레,
ウッド,うっど,나무,
ウラン,うらん,우라늄,
宇柳貝,うるぐあい,우루과이,
エーカー,えーかー,에이커,
エージェント,えーじぇんと,대리인,
エース,えーす,에이스,
エール,えーる,응원의 외침,
エア,えあ,공기,
エアコン,えあこん,에어컨,
エアゾール,えあぞーる,에어로졸 스프레이,
エアバス,えあばす,에어버스,
エアバッグ,えあばっぐ,에어백,
エアライフル,えあらいふる,공기총,
エアロビクス,えあろびくす,에어로빅,
エイト,えいと,여덟,
エイリアン,えいりあん,외계인,
エキサイト,えきさいと,흥분시키다,
越幾斯,えきす,추출물,
エクストラ,えくすとら,엑스트라,
エキスパート,えきすぱーと,전문가,
エキスポ,えきすぽ,박람회,
エキゾチック,えきぞちっく,이국적인,
厄瓜多,えくあどる,에콰도르,
エクイタブル,えくいたぶる,공평한,
エクスプレス,えくすぷれす,급행,
エクソシスト,えくそしすと,퇴마사,
エコー,えこー,메아리,
エコノミー,えこのみー,경제,
エコノミスト,えこのみすと,경제학자,
エコロジー,えころじー,생태학,
エゴ,えご,자아,
エゴイズム,えごいずむ,이기주의,
埃及,えじぷと,이집트,
エスカレート,えすかれーと,확대,
エスキモー,えすきもー,에스키모,
エスクワイア,えすくわいあ,경(씨),
エスコート,えすこーと,호위하다,
エステート,えすてーと,재산,
エストニア,えすとにあ,에스토니아,
エストロゲン,えすとろげん,에스트로겐,
エスニック,えすにっく,민족의,
エスプリ,えすぷり,정신,
エスペラント,えすぺらんと,에스페란토어,
エチレン,えちれん,에틸렌,
エッジ,えっじ,가장자리,
エッセイ,えっせい,수필,
エッセイスト,えっせいすと,수필가,
エッセンス,えっせんす,본질,
エッチング,えっちんぐ,에칭,
エディション,えでぃしょん,판,
エディター,えでぃたー,편집자,
エジンバラ,えじんばら,에든버러,
エデン,えでん,에덴,
エナジー,えなじー,에너지,
エナメル,えなめる,에나멜,
エネ,えね,에너지,
エピソード,えぴそーど,에피소드,
エピック,えぴっく,서사시,
エホバ,えほば,여호와,
エポック,えぽっく,시대,
エメラルド,えめらるど,에메랄드,
エラー,えらー,오류,
エリート,えりーと,엘리트,
エリア,えりあ,지역,
エルニーニョ,えるにーにょ,엘니뇨,
エルビウム,えるびうむ,에르븀(Er),
エレガンス,えれがんす,우아함,
越歴,えれき,전기,
エレキギター,えれきぎたー,일렉트릭 기타,
エレジー,えれじー,비가,
エロ,えろ,에로틱,
エロス,えろす,에로스,
エロチック,えろちっく,에로틱,
エンジョイ,えんじょい,즐김,
エンジェル,えんじぇる,천사,
エンダイブ,えんだいぶ,엔디브,
エンディング,えんでぃんぐ,종결,
エントリー,えんとりー,참가,
エンド,えんど,끝,
エンドレス,えんどれす,끝없는,
エンバシー,えんばしー,대사관,
エンブレム,えんぶれむ,상징,
エンペラー,えんぺらー,황제,
オーク,おーく,참나무,
オークション,おーくしょん,경매,
オークス,おーくす,참나무들,
オーシャン,おーしゃん,대양,
濠太剌利,おーすとらりあ,호주,
オーダー,おーだー,주문,
オーチャード,おーちゃーど,과수원,
オーディオ,おーでぃお,오디오,
オート,おーと,자동차,
オートロック,おーとろっく,자동 잠금장치,
オード,おーど,송가,
オードブル,おーどぶる,파티 플래터,
オーナー,おーなー,소유자,
オーバーラン,おーばーらん,초과 운행,
オーブン,おーぶん,오븐,
オープニング,おーぷにんぐ,개막,
オープンカー,おーぷんかー,오픈카,
オーボエ,おーぼえ,오보에,
オーラ,おーら,기운,
オールナイト,おーるないと,밤샘의,
オアシス,おあしす,오아시스,
オカリナ,おかりな,오카리나,
オカルト,おかると,신비로운,
オクラ,おくら,오크라,
オクラホマ,おくらほま,오클라호마,
オケ,おけ,오케스트라,
オスカー,おすかー,오스카상,
オセアニア,おせあにあ,오세아니아,
オゾン,おぞん,오존,
オゾンホール,おぞんほーる,오존층 구멍,
オタワ,おたわ,오타와,
牛津,おっくすふぉーど,옥스퍼드,
オニオン,おにおん,양파,
オハイオ,おはいお,오하이오,
オピニオン,おぴにおん,의견,
オフィシャル,おふぃしゃる,공식적인,
オフシーズン,おふしーずん,비수기,
オフレコ,おふれこ,비공식적인,
オフロード,おふろーど,오프로드,
オブザーバー,おぶざーばー,관찰자,
オブジェ,おぶじぇ,예술품,
オブラート,おぶらーと,얇은 약포지,
オプション,おぷしょん,선택권,
オペ,おぺ,수술,
オペレーター,おぺれーたー,조작자,
オムニバス,おむにばす,버스,
オラクル,おらくる,신탁,
阿蘭陀,おらんだ,네덜란드,
オリエンタル,おりえんたる,동양의,
オリエント,おりえんと,동양,
オリゴマー,おりごまー,올리고머,
オリジナル,おりじなる,원본,
オリンピック,おりんぴっく,올림픽,
オルグ,おるぐ,주최자,
オルゴール,おるごーる,오르골,
オンエア,おんえあ,방송 중인,
オンス,おんす,온스,
オンパレード,おんぱれーど,전시,
オンブズマン,おんぶずまん,옴부즈만,
カースト,かーすと,카스트 제도,
カーチェイス,かーちぇいす,차 추격전,
カーディガン,かーでぃがん,가디건,
カート,かーと,쇼핑 카트,
カートリッジ,かーとりっじ,카트리지,
カーニバル,かーにばる,카니발,
カーフェリー,かーふぇりー,차량 페리,
カーボン,かーぼん,탄소,
カーリング,かーりんぐ,컬링(빙상 스포츠),
カール,かーる,머리카락의 곱슬,
カーレース,かーれーす,자동차 경주,
カーン,かーん,자간 조정,
カイト,かいと,연,
カウチポテト,かうちぽてと,TV만 보는 사람,
カウボーイ,かうぼーい,카우보이,
カウンセラー,かうんせらー,상담가,
カウンター,かうんたー,계산대,
カウント,かうんと,세다,
カオス,かおす,혼돈,
カサカサ,かさかさ,건조하고 거친,
カジノ,かじの,카지노,
カジュアル,かじゅある,평상복의,
カスタム,かすたむ,관습,
カスバ,かすば,요새,
型録,かたろぐ,목록,
カッター,かったー,절단기,
カップル,かっぷる,한 쌍,
カテゴリ,かてごり,범주,
カテドラル,かてどらる,대성당,
カトリシズム,かとりしずむ,가톨릭교,
加特力,かとりっく,가톨릭 신자,
カトレヤ,かとれや,카틀레야(난초 종류),
カドミウム,かどみうむ,카드뮴,
加奈陀,かなだ,캐나다,
金糸雀,かなりあ,카나리아(새),
カヌー,かぬー,카누,
カフェ,かふぇ,카페,
カフェイン,かふぇいん,카페인,
カフェテリア,かふぇてりあ,구내식당,
カフス,かふす,소맷부리,
カブ,かぶ,새끼,
カプセル,かぷせる,캡슐,
カプラー,かぷらー,연결기,
カマーバンド,かまーばんど,허리띠,
カム,かむ,캠(기계 부품),
カメレオン,かめれおん,카멜레온,
カヤック,かやっく,카약,
カラード,からーど,유색인종,
空オケ,からおけ,노래방,
カラチ,からち,카라치(도시),
カラット,からっと,캐럿(보석 무게 단위),
カラフル,からふる,다채로운,
カリウム,かりうむ,칼륨,
カリキュラム,かりきゅらむ,교육과정,
カリスマ,かりすま,카리스마,
加爾基,かるき,염소계 석회,
カルシウム,かるしうむ,칼슘,
カルダモン,かるだもん,카다몸,
カルチャー,かるちゃー,문화,
カルト,かると,종파,
カルバドス,かるばどす,칼바도스주,
カレッジ,かれっじ,대학,
カレンシー,かれんしー,통화,
カローラ,かろーら,꽃부리,
カロチン,かろちん,카로틴,
カロライナ,かろらいな,캐롤라이나,
カンカン,かんかん,캉캉춤,
カンガルー,かんがるー,캥거루,
カンザス,かんざす,캔자스주,
カント,かんと,은어,
カンパ,かんぱ,모금운동,
カンパニー,かんぱにー,회사,
カンフル,かんふる,장뇌,
ガーゼ,がーぜ,거즈,
ガーデン,がーでん,정원,
ガード,がーど,경비,
ガードマン,がーどまん,경비원,
ガードレール,がーどれーる,가드레일,
ガール,がーる,소녀,
ガイ,がい,남자,
ガイダンス,がいだんす,안내,
ガウシアン,がうしあん,가우스의,
ガウン,がうん,가운,
ガジェット,がじぇっと,도구,
瓦斯,がす,가스(연료),
ガスタービン,がすたーびん,가스터빈,
ガスボンベ,がすぼんべ,가스통,
ガスマスク,がすますく,방독면,
ガソール,がそーる,가소올(가솔린과 알코올 혼합연료),
ガッツ,がっつ,용기,
ガッツポーズ,がっつぽーず,승리의 자세,
ガット,がっと,거트(테니스 라켓·바이올린 줄 재료),
ガボット,がぼっと,가보트 춤,
ガメラン,がめらん,가믈란(인도네시아 전통 음악),
硝子,がらす,유리,
ガラス張り,がらすばり,유리 끼우기,
ガリー,がりー,협곡,
ガリウム,がりうむ,갈륨(Ga),
ガリバー,がりばー,걸리버,
ガロン,がろん,갤런,
ガン,がん,총,
ガンガン,がんがん,욱신거림(두통),
キー,きー,열쇠,
キープ,きーぷ,유지하다,
キーホルダー,きーほるだー,열쇠고리,
キーボード,きーぼーど,키보드,
キーポイント,きーぽいんと,핵심점,
キーマン,きーまん,핵심 인물,
キール,きーる,선체 용 키,
キーワード,きーわーど,핵심어,
キウイ,きうい,키위 과일,
キオスク,きおすく,키오스크,
キス,きす,키스,
キック,きっく,발로 차다,
キックオフ,きっくおふ,경기 시작,
キッチン,きっちん,부엌,
キット,きっと,도구 세트,
キッド,きっど,어린이,
キャスター,きゃすたー,바퀴 달린 받침대,
キャスト,きゃすと,출연진,
キャタピラ,きゃたぴら,무한궤도,
キャッチャー,きゃっちゃー,포수,
キャッツアイ,きゃっつあい,고양이 눈석,
キャップ,きゃっぷ,모자,
キャバレー,きゃばれー,카바레,
キャビネット,きゃびねっと,내각,
キャビン,きゃびん,오두막,
キャブレター,きゃぶれたー,카뷰레터,
キャプション,きゃぷしょん,자막,
キャベツ,きゃべつ,양배추,
キャメル,きゃめる,낙타,
キャラクター,きゃらくたー,문자,
キャラバン,きゃらばん,카라반,
キャリー,きゃりー,운반하다,
キャロル,きゃろる,캐롤송,
キャンセル,きゃんせる,취소,
キャンディ,きゃんでぃ,사탕,
キャンドル,きゃんどる,양초,
キャンバス,きゃんばす,캔버스 천,
キャンパー,きゃんぱー,캠핑하는 사람,
キャンピング,きゃんぴんぐ,캠핑,
キャンプイン,きゃんぷいん,기초 훈련 캠프,
キャンベラ,きゃんべら,캔버라 (호주 수도),
キャンペーン,きゃんぺーん,판매 촉진,
キュー,きゅー,신호,
キュート,きゅーと,귀여운,
玖馬,きゅーば,쿠바,
キュリー,きゅりー,큐리 (방사능 단위),
キュレーター,きゅれーたー,큐레이터,
キラー,きらー,살인자,
基督,きりすと,그리스도,
キリスト教,きりすときょう,기독교,
キリル,きりる,키릴 문자,
キル,きる,죽이다,
キロワット,きろわっと,킬로와트,
キング,きんぐ,왕,
ギア,ぎあ,기어,
ギフト,ぎふと,선물,
ギブアップ,ぎぶあっぷ,포기하다,
ギプス,ぎぷす,깁스,
ギャグ,ぎゃぐ,농담,
ギャップ,ぎゃっぷ,틈,
ギャラ,ぎゃら,출연료,
ギャラリー,ぎゃらりー,화랑,
ギャル,ぎゃる,갸루(일본 패션),
ギャルソン,ぎゃるそん,남자 웨이터,
ギャンブラー,ぎゃんぶらー,도박꾼,
ギャンブル,ぎゃんぶる,도박,
希臘,ぎりしゃ,그리스,
ギルド,ぎるど,조합,
ギロチン,ぎろちん,단두대,
クーキー,くーきー,기이한,
クーデター,くーでたー,쿠데타,
クーペ,くーぺ,쿠페(자동차),
クーポン,くーぽん,쿠폰,
クール,くーる,차가운,
クイーン,くいーん,여왕,
クイック,くいっく,빠른,
科威都,くうぇーと,쿠웨이트,
クオート,くおーと,쿼트(부피 단위),
クオリティ,くおりてぃ,품질,
クッキング,くっきんぐ,요리,
クッション,くっしょん,쿠션,
クラーク,くらーく,사무원,
クライアント,くらいあんと,고객,
クライシス,くらいしす,위기,
クライミング,くらいみんぐ,등반,
クラウン,くらうん,왕관,
クラクション,くらくしょん,경적,
クラシカル,くらしかる,고전적인,
クラスメイト,くらすめいと,급우,
クラッカー,くらっかー,폭죽,
クラック,くらっく,금,
クラッシュ,くらっしゅ,충돌,
クラッチ,くらっち,클러치,
クラフト,くらふと,공예,
クラン,くらん,씨족,
クランク,くらんく,크랭크,
クリーナー,くりーなー,청소부,
クリーン,くりーん,깨끗한,
クリエイター,くりえいたー,창조자,
クリオール,くりおーる,크리올어,
クリケット,くりけっと,크리켓(경기),
クリスタル,くりすたる,수정,
クリスチャン,くりすちゃん,기독교인,
クリック,くりっく,딸깍 소리,
クリップ,くりっぷ,클립,
クリニック,くりにっく,진료소,
クルー,くるー,승무원,
クルーザー,くるーざー,순양함,
クルージング,くるーじんぐ,순항,
クルーズ,くるーず,유람선 여행,
久留子,くるす,십자가 표시,
クルド,くるど,쿠르드인,
クレー,くれー,점토,
クレイジー,くれいじー,미친,
クレーター,くれーたー,분화구,
クレーム,くれーむ,보상 청구,
クレオソート,くれおそーと,크레오소트,
クレジット,くれじっと,신용카드,
クレムリン,くれむりん,크렘린,
クレンザー,くれんざー,세정제,
クローク,くろーく,옷 보관소,
クローズ,くろーず,닫다,
クロール,くろーる,크롤 수영,
クローン,くろーん,복제,
クロアチア,くろあちあ,크로아티아,
クロス,くろす,십자가,
クロスワード,くろすわーど,십자말 풀이,
クロック,くろっく,시계,
クロニクル,くろにくる,연대기,
クロム,くろむ,크롬,
クロレラ,くろれら,클로렐라,
クワイア,くわいあ,합창단,
グー,ぐー,좋은,
グアテマラ,ぐあてまら,과테말라,
瓜姆,ぐあむ,괌,
グッズ,ぐっず,상품,
グッド,ぐっど,좋은,
グライコ,ぐらいこ,그래픽 이퀄라이저,
グライダー,ぐらいだー,글라이더,
グラウンド,ぐらうんど,운동장,
グラビア,ぐらびあ,그라비아 인쇄,
グラフィック,ぐらふぃっく,그래픽,
グラマー,ぐらまー,관능적인,
グランス,ぐらんす,귀두,
グランデ,ぐらんで,웅장한,
グランプリ,ぐらんぷり,그랑프리,
グリークラブ,ぐりーくらぶ,글리 클럽,
グリーン,ぐりーん,녹색,
臥児狼徳,ぐりーんらんど,그린란드,
グリコーゲン,ぐりこーげん,글리코겐,
グリップ,ぐりっぷ,잡기,
グリル,ぐりる,그릴,
グルー,ぐるー,접착제,
グルメ,ぐるめ,고급 음식,
グレーゾーン,ぐれーぞーん,회색 지대,
グレート,ぐれーと,위대한,
グレード,ぐれーど,등급,
グレゴリオ,ぐれごりお,그레고리력,
グロ,ぐろ,기괴한,
グローバル,ぐろーばる,전 세계의,
グローブ,ぐろーぶ,스포츠용 장갑,
グロテスク,ぐろてすく,기괴한,
グロリア,ぐろりあ,영광의 노래,
ケーオー,けーおー,녹아웃,
ケージ,けーじ,우리,
ケーソン工法,けーそんこうほう,케이슨 공법,
ケーブル,けーぶる,케이블,
ケープ,けーぷ,망토,
ケア,けあ,의료 돌봄,
