きちんと,きちんと,properly / accurately / exactly,
きっちり,きっちり,exactly / precisely / punctually,
きっぱり,きっぱり,clearly / plainly / distinctly,
キョロキョロ,きょろきょろ,(looking around) restlessly / (looking) all around / goggling,
キラキラ,きらきら,glittering / sparkling / glistening,
刻々,ぎざぎざ,notches / serration / indentation,
ぎゅうぎゅう,ぎゅうぎゅう,packing in tightly / cramming / squeezing,
ぎゅっと,ぎゅっと,"tightly (hold, squeeze, etc.) / firmly / forcefully (e.g. push)",
ぎょっと,ぎょっと,being startled,
ギラギラ,ぎらぎら,glaringly / dazzlingly / blazingly,
限り限り,ぎりぎり,just barely / only just / at the very limit,
くしゃくしゃ,くしゃくしゃ,crumpled / rumpled / wrinkled,
くたくた,くたくた,exhausted / worn out / dead tired,
くっきり,くっきり,clearly (standing out) / distinctly / sharply,
くどくど,くどくど,"tediously (explain, complain, etc.) / repeatedly / persistently",
くよくよ,くよくよ,to fret (over) / to brood (about) / to mope,
くるくる,くるくる,whirling / revolving / spinning,
愚図愚図,ぐずぐず,slowly / tardily / dawdling,
ぐったり,ぐったり,limply / wearily / listlessly,
グラグラ,ぐらぐら,wobbling / tottering / shaking,
けじめ,けじめ,"distinction (e.g. between right and wrong, public and private, etc.) / responsibility (taking, acknowledging)",
こう言う,こういう,such / this sort of / like this,
こそこそ,こそこそ,sneakily / secretly / stealthily,
この間,このあいだ,the other day / lately / recently,
この頃,このごろ,these days / nowadays / now,
この辺,このへん,this area / around here,
これ迄,これまで,so far / up to now / hitherto,
コロコロ,ころころ,chubby (and cute) / plump / round,
こんな,こんな,this sort of / this kind of / like this,
ゴミ箱,ごみばこ,trash can / garbage can / rubbish bin,
ゴロゴロ,ごろごろ,"rumbling (of thunder, one's stomach, etc.) / grumbling / growling",
ご苦労様,ごくろうさま,thank you (for your hard work) / I appreciate your efforts,
さっぱり,さっぱり,feeling refreshed / feeling relieved,
さらさら,さらさら,"smooth and dry (hair, sand, etc.) / silky / powdery (e.g. snow)",
ザラザラ,ざらざら,"rough (touch, voice, etc.) / coarse / gritty",
ざわざわ,ざわざわ,noisily (from many people talking) / in a commotion,
しとしと,しとしと,gently (raining) / drizzling,
吃逆,しゃっくり,hiccup / hiccough,
しょんぼり,しょんぼり,downheartedly / dejectedly / dispiritedly,
凝乎と,じっと,"motionlessly (e.g. stand, wait) / (be) still",
じめじめ,じめじめ,damp / humid / wet,
じゃが芋,じゃがいも,potato (Solanum tuberosum),
じゃん拳,じゃんけん,rock-paper-scissors (game) / janken,
すっきり,すっきり,refreshingly / with a feeling of relief / pleasantly,
すっと,すっと,straight / quickly / directly,
擦れ擦れ,すれすれ,grazing / skimming / almost touching,
ズキズキ,ずきずき,throbbingly (of pain),
ずるずる,ずるずる,loose / lax / inconclusive,
ずれ,ずれ,gap / lag / slippage,
せかせか,せかせか,restlessly / hurriedly / agitatedly,
せっかち,せっかち,hasty / impatient / restless,
そう,そう,appearing that / seeming that / looking like,
そっくり,そっくり,exactly alike (e.g. in appearance) / spitting image of / identical,
そっと,そっと,to leave alone / to leave as it is,
其の,その,that / the,
その上,そのうえ,in addition / furthermore,
その他,そのほか,the rest / the others,
そよ風,そよかぜ,gentle breeze / soft wind / breath of air,
そわそわ,そわそわ,restlessly / nervously / uneasily,
そんな,そんな,such / that sort of / that kind of,
ぞくぞく,ぞくぞく,shivering / feeling chilly,
ぞんざい,ぞんざい,rough / careless / slovenly,
たった,たった,only / merely / but,
たっぷり,たっぷり,loosely / with room to spare / with enough space,
だぶだぶ,だぶだぶ,loose (of clothing) / baggy,
だらだら,だらだら,in drops / dripping / trickling,
ちぐはぐ,ちぐはぐ,mismatched / odd / irregular,
ちゃんと,ちゃんと,diligently / seriously / earnestly,
ちらちら,ちらちら,"falling lightly (e.g. snow, petals, confetti) / fluttering",
ちんちん,ちんちん,penis,
チンピラ,ちんぴら,(young) hoodlum / delinquent boy / delinquent girl,
躑躅,つつじ,azalea / rhododendron,
つるつる,つるつる,smooth / shiny / slick,
とろ,とろ,fatty cut (esp. of tuna belly),
飛んだ,とんだ,unexpected / unlikely / strange,
とんとん,とんとん,even / equal / break-even,
どう言う,どういう,what kind of / what sort of / what,
どうにか,どうにか,in some way or other / one way or another / somehow,
ドキッと,どきっと,being startled / getting a shock,
ドキドキ,どきどき,to beat fast (of one's heart) / to throb / to pound,
ドタバタ,どたばた,noisily (running around) / with heavy feet,
どの様,どのよう,what sort / what kind,
どの位,どのくらい,how long / how far / how much,
泥々,どろどろ,viscous / mushy / pulpy,
どんな,どんな,what kind of / what sort of / what,
等閑,なおざり,neglect / negligence / disregard,
和やか,にこやか,smiling / beaming / radiant,
ニヤニヤ,にやにや,grinning / smirking,
ヌルヌル,ぬるぬる,slimy / slippery / greasy,
ねた,ねた,"material (for a story, article, etc.) / information / news item",
のろのろ,のろのろ,slowly / sluggishly,
のんびり,のんびり,to relax / to take it easy / to chill,
はっきり,はっきり,to be clear / to be definite / to be certain,
薔薇薔薇,ばらばら,scattered / disperse / loose,
バリバリ,ばりばり,stiff / starchy / crisp,
パッと,ぱっと,conspicuously / prominently / showily,
只管,ひたすら,intently / single-mindedly / devotedly,
ひっそり,ひっそり,quiet (place) / still / silent,
ひらひら,ひらひら,fluttering / flapping / waving,
ビクビク,びくびく,being afraid of / being fearful / being timid,
びしょびしょ,びしょびしょ,soaked / drenched / sopping,
びっしょり,びっしょり,wet through / drenched,
ビリビリ,びりびり,(tear) to pieces / (rip) apart / (rip) up,
ピカピカ,ぴかぴか,with a glitter / with a sparkle,
ぴったり,ぴったり,tightly / closely,
ピリピリ,ぴりぴり,with a sting / with a tingle / with a burn,
ぴんぴん,ぴんぴん,lively / energetic / full of life,
ふらふら,ふらふら,unsteadily (e.g. on one's feet) / shakily / staggering,
ぶかぶか,ぶかぶか,too large (clothing) / baggy / loose-fitting,
ぶっきら棒,ぶっきらぼう,curt / blunt / brusque,
ぶつぶつ,ぶつぶつ,grunt / grumble / complaint,
ぶらぶら,ぶらぶら,dangling / swaying / swinging,
ぶるぶる,ぶるぶる,"trembling (with fear, anger, etc.) / shivering (with cold) / shaking",
ヘトヘト,へとへと,completely exhausted / dead tired / knackered,
ベタベタ,べたべた,sticky,
ペコペコ,ぺこぺこ,very hungry / starving / famished,
ペラペラ,ぺらぺら,fluently (speaking a foreign language),
ほっと,ほっと,with a feeling of relief / with a sigh of relief,
本の,ほんの,mere / only / just,
ほんのり,ほんのり,slightly / faintly,
ぼーっと,ぼーっと,in a daze / absent-mindedly / vacantly,
惚け,ぼけ,fool / idiot,
ボロボロ,ぼろぼろ,worn-out / ragged / tattered,
ぼんやり,ぼんやり,dimly / faintly / indistinctly,
ぽかぽか,ぽかぽか,pleasantly warm / nice and warm,
ポタポタ,ぽたぽた,dripping / trickling / drop by drop,
まあまあ,まあまあ,so-so / passable / not (so) bad,
まごまご,まごまご,confused / flustered / at a loss,
忠実,ちゅうじつ,faithful / devoted / loyal,
ムカムカ,むかむか,feeling sick / feeling queasy / feeling nauseated,
むっつり,むっつり,sullenly / taciturnly / morosely,
持て成し,もてなし,hospitality / reception / treatment,
ヤクザ,やくざ,(member of the) yakuza / gangster / mobster,
やり繰り,やりくり,making do / getting by (somehow) / managing,
やり取り,やりとり,giving and taking / exchange (of letters) / arguing back and forth,
やり方,やりかた,way (of doing) / manner / method,
ゆっくり,ゆっくり,slowly / unhurriedly / without haste,
ゆとり,ゆとり,elbowroom / leeway / room,
揺ら揺ら,ゆらゆら,swaying / swinging / rocking,
ヨチヨチ,よちよち,totteringly / with tottering steps / toddling,
よろよろ,よろよろ,tottering / staggering / faltering,
列記,れっき,list / enumeration,
わくわく,わくわく,to be excited / to be nervous / to be thrilled,
アーク,あーく,arc,
アーケード,あーけーど,arcade (street),
アースデー,あーすでー,Earth Day (April 22),
アーチ,あーち,arch,
アーチェリー,あーちぇりー,archery,
アーティスト,あーてぃすと,artist / musician,
アート,あーと,art,
アーバン,あーばん,urban,
アーム,あーむ,arm,
アーモンド,あーもんど,almond (Prunus dulcis),
アールデコ,あーるでこ,art deco,
アイシャドウ,あいしゃどう,eyeshadow,
アイス,あいす,ice,
アイゼン,あいぜん,metal pins of climbing shoes / crampons / climbing irons,
アイテム,あいてむ,item,
アイデア,あいであ,idea,
アイドル,あいどる,performer (usu. in a boy band or girl group) with an image cultivated to foster a dedicated fan following / Japanese idol,
アイヌ,あいぬ,Ainu,
アイボリー,あいぼりー,ivory,
アイライン,あいらいん,eyeliner,
アイリス,あいりす,iris,
アイロン,あいろん,iron (for pressing clothes),
アウトドア,あうとどあ,outdoors,
アウトバーン,あうとばーん,"autobahn (highway in Germany, Austria and Switzerland)",
アウトレット,あうとれっと,outlet (store),
アウトロー,あうとろー,outlaw,
アカシア,あかしあ,acacia,
アカデミー,あかでみー,academy,
アカデミズム,あかでみずむ,academism,
アカデミック,あかでみっく,academic,
アキレス腱,あきれすけん,Achilles' heel / vulnerable point,
アクアトロン,あくあとろん,artificial environment control for aquatic plants and animals,
アクシデント,あくしでんと,accident,
アクション,あくしょん,action,
アクセサリー,あくせさりー,accessory (fashion) / jewelry,
アクセス,あくせす,"access (to a place, esp. using public transport)",
アクセル,あくせる,accelerator (pedal) / gas pedal,
アクセント,あくせんと,intonation / inflection / cadence,
アクティブ,あくてぃぶ,active,
アクトレス,あくとれす,actress,
アクリル,あくりる,acrylic (esp. fibre or resin),
アクロバット,あくろばっと,acrobat,
アグレッシブ,あぐれっしぶ,aggressive,
アコード,あこーど,accord,
アシスタント,あしすたんと,assistant,
アシスト,あしすと,assistance / help,
アジ,あじ,agitation,
亜細亜,あじあ,Asia,
アジト,あじと,hideout / secret base of operations / safe house,
アスパラガス,あすぱらがす,asparagus,
アスピーテ,あすぴーて,aspite / shield volcano,
アスピリン,あすぴりん,aspirin,
アスファルト,あすふぁると,asphalt,
アスベスト,あすべすと,asbestos,
アスリート,あすりーと,athlete,
アスレチック,あすれちっく,athletics / sports,
アセス,あせす,assessment,
アセスメント,あせすめんと,assessment,
アタック,あたっく,attack (on a difficult task) / tackling / confronting,
アダプター,あだぷたー,adapter,
アダルト,あだると,adult,
アチーブ,あちーぶ,achievement test,
アット,あっと,@ sign / at sign,
アッパー,あっぱー,upper / upward,
アップ,あっぷ,upload / posting online,
アップル,あっぷる,apple,
アトム,あとむ,atom,
アトリエ,あとりえ,atelier / studio / workshop,
アド,あど,ad / advertisement,
アドバイザー,あどばいざー,adviser / advisor,
アドバイス,あどばいす,advice,
アドバルーン,あどばるーん,advertising balloon,
アドリブ,あどりぶ,ad lib / ad-lib,
アドレス,あどれす,address,
アドレナリン,あどれなりん,adrenalin,
アナ,あな,announcer,
アナーキー,あなーきー,anarchy,
アナウンサー,あなうんさー,announcer / presenter / broadcaster,
アナウンス,あなうんす,announcement (esp. over public-address system),
アナリスト,あなりすと,analyst,
アナログ,あなろぐ,analog / analogue,
アニーリング,あにーりんぐ,annealing,
アニマル,あにまる,animal,
アニメ,あにめ,animation / animated film / animated cartoon,
アバウト,あばうと,approximate (number) / rough (calculation),
アパート,あぱーと,apartment building / apartment block / apartment house,
アパッチ,あぱっち,Apache (people),
アビタシオン,あびたしおん,habitation,
アピール,あぴーる,appeal (e.g. for peace) / plea / request,
アフェア,あふぇあ,affair,
アフター,あふたー,socializing (with a host or hostess) outside the club,
アフタヌーン,あふたぬーん,afternoon,
アブサン,あぶさん,absinthe,
アプローチ,あぷろーち,"approach (to a problem, issue, etc.)",
アベック,あべっく,back-to-back (e.g. home runs) / dual (e.g. victory) / tandem (e.g. flight),
アベニュー,あべにゅー,avenue / boulevard,
アベレージ,あべれーじ,average,
アペタイザー,あぺたいざー,appetizer / appetiser,
アボリジニ,あぼりじに,(Australian) Aborigine / Aboriginal Australian,
アマ,あま,amateur,
アマチュア,あまちゅあ,amateur,
アマン,あまん,lover,
アミ,あみ,friend,
アミノ酸,あみのさん,amino acid,
アムール,あむーる,love,
アムネスティ,あむねすてぃ,amnesty,
アメーバ,あめーば,amoeba / ameba,
アメニティ,あめにてぃ,amenity,
アメフト,あめふと,American football,
アメリカン,あめりかん,American,
アメリカ人,あめりかじん,American (person),
アラー,あらー,Allah,
アラウンド,あらうんど,around,
アラカルト,あらかると,à la carte,
アラブ,あらぶ,Arab / Arab countries,
アリーナ,ありーな,arena,
アリバイ,ありばい,alibi,
アルカイスム,あるかいすむ,archaism,
アルカディア,あるかでぃあ,arcadia,
亜爾加里,あるかり,alkali,
アルコーブ,あるこーぶ,alcove,
アルコール,あるこーる,alcoholic drink / alcohol,
アルデヒド,あるでひど,aldehyde,
アルバイト,あるばいと,part-time job / side job,
アルバトロス,あるばとろす,albatross (seabird),
アルバム,あるばむ,album,
アルパイン,あるぱいん,alpine,
アルブミン,あるぶみん,albumin,
アルプス,あるぷす,the Alps,
アルマジロ,あるまじろ,armadillo,
アルミ,あるみ,aluminum / aluminium,
アルミサッシ,あるみさっし,aluminium sash / aluminum sash / aluminium window frame,
アルミニウム,あるみにうむ,aluminium (Al) / aluminum,
アルミホイル,あるみほいる,aluminum foil / aluminium foil / tin foil,
アル中,あるちゅう,alcoholism,
アレイ,あれい,array,
アレンジ,あれんじ,"arrangement (of music) / adaptation (of a story, recipe, etc.) / interpretation",
アロハ,あろは,aloha shirt,
アワー,あわー,hour,
アンカー,あんかー,(ship's) anchor,
アングラ,あんぐら,"underground (film, theater, etc.) / unconventional / alternative",
アングル,あんぐる,angle,
アンケート,あんけーと,questionnaire / survey / poll,
アンコール,あんこーる,encore,
アンサンブル,あんさんぶる,ensemble (of clothes) / outfit / suit,
アンジェラス,あんじぇらす,angelus,
アンソロジー,あんそろじー,anthology,
アンダー,あんだー,under,
アンチ,あんち,hater,
アンチテーゼ,あんちてーぜ,antithesis,
アンティーク,あんてぃーく,antique,
アンテナ,あんてな,antenna,
アンドロイド,あんどろいど,android,
アンバランス,あんばらんす,unbalance / imbalance,
アンフェア,あんふぇあ,unfair,
アンプ,あんぷ,amp / ampere,
アンペア,あんぺあ,ampere,
アンモナイト,あんもないと,ammonite (extinct spiral shelled cephalopod),
安母尼亜,あんもにあ,ammonia,
イーグル,いーぐる,eagle (bird),
イージー,いーじー,easy,
イースター,いーすたー,Easter,
イーブン,いーぶん,even,
イエス,いえす,Jesus (Christ),
イエロー,いえろー,yellow,
英吉利,いぎりす,United Kingdom / UK / Britain,
イコール,いこーる,equal / equivalent,
イコン,いこん,icon (religious),
以色列,いすらえる,Israel,
イスラム,いすらむ,Islam,
伊太利,いたりあ,Italy,
イット,いっと,"""it"" / sex appeal",
イデオロギー,いでおろぎー,ideology,
イブ,いぶ,eve (esp. Christmas Eve) / the night before,
イブニング,いぶにんぐ,evening,
イベント,いべんと,event,
イメージ,いめーじ,image (in one's mind) / impression / imagining,
イヤホン,いやほん,earphones / earphone,
イヤリング,いやりんぐ,earring,
伊拉久,いらく,Iraq,
イラスト,いらすと,illustration / picture / sketch,
イリノイ,いりのい,Illinois,
イレブン,いれぶん,eleven,
インク,いんく,ink,
英蘭,いんぐらんど,England,
インサイダー,いんさいだー,insider,
インスタント,いんすたんと,instant,
インター,いんたー,interchange,
インターン,いんたーん,intern / internship,
インタビュー,いんたびゅー,"interview (on television, in a newspaper, etc.)",
インチキ,いんちき,cheating / fraud / trickery,
インテリ,いんてり,intellectual / educated person,
インテリア,いんてりあ,"interior (of building, room, vehicle, etc.)",
インディアナ,いんでぃあな,Indiana,
インディアン,いんでぃあん,(American) Indian / Native American,
インデックス,いんでっくす,index,
イントロ,いんとろ,intro / introduction,
印度,いんど,India,
インドア,いんどあ,indoor,
印度支那,いんどしな,Indochina,
印度尼西亜,いんどねしあ,Indonesia,
インパクト,いんぱくと,impact (on) / (strong) impression / effect,
インフラ,いんふら,infrastructure,
インフレ,いんふれ,inflation,
インプット,いんぷっと,input,
インペリアル,いんぺりある,imperial,
インボイス,いんぼいす,tax invoice / qualified invoice,
インポート,いんぽーと,import / imported goods,
ウーマン,うーまん,woman,
ウール,うーる,wool,
ウィーク,うぃーく,week,
ウィークデー,うぃーくでー,weekday,
ウィークリー,うぃーくりー,weekly,
ウイスキー,ういすきー,whisky / whiskey,
ウインカー,ういんかー,(car) turn signal / blinker / indicator,
ウィンター,うぃんたー,winter,
ウィンドウ,うぃんどう,window (shop display),
ウインド,ういんど,wind,
ウイット,ういっと,wit,
ウィリー,うぃりー,wheelie,
ウイルス,ういるす,virus,
ウインク,ういんく,wink,
ウイング,ういんぐ,"wing (of a bird, aircraft, etc.)",
ウェイト,うぇいと,weight / body weight,
ウェイトレス,うぇいとれす,waitress,
ウェーバー,うぇーばー,waiver,
ウェールズ,うぇーるず,Wales,
ウェイ,うぇい,way,
ウェーブ,うぇーぶ,wave (on water),
ウエスタン,うえすたん,Western (film genre),
ウエスト,うえすと,waist / waistline / waist measurement,
ウェット,うぇっと,wet / moist,
ウェルカム,うぇるかむ,welcome,
ウォーカソン,うぉーかそん,walkathon,
ウォッカ,うぉっか,vodka,
ワッシャー,わっしゃー,washer,
ウォン,うぉん,won (currency of North Korea and South Korea),
ウォッチング,うぉっちんぐ,watching,
烏克蘭,うくらいな,Ukraine,
ウクレレ,うくれれ,ukulele,
ウッド,うっど,wood,
ウラン,うらん,uranium (U),
宇柳貝,うるぐあい,Uruguay,
エーカー,えーかー,acre,
エージェント,えーじぇんと,agent,
エース,えーす,ace / hotshot / top dog,
エール,えーる,yell (of encouragement) / cheering (esp. for a school sports team),
エア,えあ,air,
エアコン,えあこん,air conditioner / air conditioning / aircon,
エアゾール,えあぞーる,aerosol spray,
エアバス,えあばす,airbus (short-haul passenger aircraft),
エアバッグ,えあばっぐ,air bag,
エアメール,えあめーる,airmail / air mail,
エアライフル,えあらいふる,air rifle,
エアロビクス,えあろびくす,aerobics,
エイト,えいと,eight,
エイリアン,えいりあん,alien,
エキサイト,えきさいと,excite,
越幾斯,えきす,"extract (of plants, meat, etc.) / essence / concentrate",
エクストラ,えくすとら,extra (e.g. in a film) / supernumerary,
エキスパート,えきすぱーと,expert,
エキスポ,えきすぽ,expo / exposition,
エキゾチック,えきぞちっく,exotic,
厄瓜多,えくあどる,Ecuador,
エクイタブル,えくいたぶる,equitable,
エクスプレス,えくすぷれす,express,
エクソシスト,えくそしすと,exorcist,
エコー,えこー,echo,
エコノミー,えこのみー,economy / economics / finance,
エコノミスト,えこのみすと,economist,
エコロジー,えころじー,ecology,
エゴ,えご,ego,
エゴイズム,えごいずむ,egoism,
埃及,えじぷと,Egypt,
エスカレート,えすかれーと,escalation,
エスキモー,えすきもー,Eskimo,
エスクワイア,えすくわいあ,esquire,
エスコート,えすこーと,escort,
エステート,えすてーと,estate,
エストニア,えすとにあ,Estonia,
エストロゲン,えすとろげん,estrogen,
エスニック,えすにっく,ethnic,
エスプリ,えすぷり,spirit,
エスペラント,えすぺらんと,Esperanto,
エチケット,えちけっと,politeness / good manners / courtesy,
エチレン,えちれん,ethylene,
エッジ,えっじ,edge,
エッセイ,えっせい,essay,
エッセイスト,えっせいすと,essayist,
エッセンス,えっせんす,essence / extract,
エッチング,えっちんぐ,etching,
エディション,えでぃしょん,edition,
エディター,えでぃたー,editor,
エジンバラ,えじんばら,"Edinburgh (Scotland, UK)",
エデン,えでん,Eden,
エナジー,えなじー,energy,
エナメル,えなめる,enamel,
エネ,えね,energy,
エネルギー,えねるぎー,energy / strength / power,
エピソード,えぴそーど,episode / anecdote / vignette,
エピック,えぴっく,epic,
エプロン,えぷろん,apron,
エホバ,えほば,Jehovah,
エポック,えぽっく,epoch,
エメラルド,えめらるど,emerald,
エラー,えらー,error,
エリート,えりーと,elite,
エリア,えりあ,area,
エルニーニョ,えるにーにょ,El Niño,
エルビウム,えるびうむ,erbium (Er),
エレガンス,えれがんす,elegance,
エレガント,えれがんと,elegant,
越歴,えれき,electricity,
エレキギター,えれきぎたー,electric guitar,
エレジー,えれじー,elegy,
エレベーター,えれべーたー,elevator / lift,
エロ,えろ,erotic / pornographic / obscene,
エロス,えろす,eros / sexual desire / physical love,
エロチック,えろちっく,erotic,
エンジニア,えんじにあ,engineer,
エンジョイ,えんじょい,enjoying / enjoyment,
エンジン,えんじん,engine,
エンジェル,えんじぇる,angel,
エンダイブ,えんだいぶ,endive,
エンディング,えんでぃんぐ,ending,
エントリー,えんとりー,"entry (in an event, competition, etc.) / applying for entry / registering to participate",
エンド,えんど,end / ending,
エンドレス,えんどれす,endless,
エンバシー,えんばしー,embassy,
エンブレム,えんぶれむ,emblem,
エンペラー,えんぺらー,emperor,
オーク,おーく,oak,
オークション,おーくしょん,auction,
オークス,おーくす,oaks,
オーケストラ,おーけすとら,orchestra,
オーシャン,おーしゃん,ocean,
濠太剌利,おーすとらりあ,Australia,
オーダー,おーだー,order (for goods or services),
オーチャード,おーちゃーど,orchard,
オーディオ,おーでぃお,audio,
オート,おーと,auto / automatic,
オートバイ,おーとばい,motorcycle / motorbike,
オートロック,おーとろっく,automatic lock,
オード,おーど,ode,
オードブル,おーどぶる,party platter / assorted food tray / catering platter,
オーナー,おーなー,owner (esp. of a business),
オーバー,おーばー,overcoat,
オーバーラン,おーばーらん,overrun (e.g. on a runway) / overshoot,
オーブン,おーぶん,oven,
オープニング,おーぷにんぐ,opening / start / launch,
オープン,おーぷん,"opening (a new store, golf course, runway, etc.)",
オープンカー,おーぷんかー,open-top car / convertible / soft-top,
オーボエ,おーぼえ,oboe,
オーラ,おーら,aura,
オールナイト,おーるないと,all-night,
オアシス,おあしす,oasis,
オイル,おいる,oil / petroleum,
オカリナ,おかりな,ocarina (type of flute),
オカルト,おかると,occult,
オクラ,おくら,okra (Abelmoschus esculentus),
オクラホマ,おくらほま,Oklahoma,
オケ,おけ,orchestra,
オスカー,おすかー,Oscar / Academy Award,
オセアニア,おせあにあ,Oceania,
オゾン,おぞん,ozone,
オゾンホール,おぞんほーる,ozone hole,
オタワ,おたわ,Ottawa (Canada),
牛津,おっくすふぉーど,Oxford,
オニオン,おにおん,onion (Allium cepa),
オハイオ,おはいお,Ohio,
オピニオン,おぴにおん,opinion,
オフィシャル,おふぃしゃる,official,
オフィス,おふぃす,office,
オフシーズン,おふしーずん,off-season,
オフレコ,おふれこ,off-the-record,
オフロード,おふろーど,off-road,
オブザーバー,おぶざーばー,observer,
オブジェ,おぶじぇ,objet d'art / item of artwork,
オブラート,おぶらーと,"paper-thin wafer (for wrapping powdered medicine, candies, etc.)",
オプション,おぷしょん,option / choice,
オペ,おぺ,operation,
オペレーター,おぺれーたー,operator,
オムニバス,おむにばす,omnibus,
オラクル,おらくる,oracle,
阿蘭陀,おらんだ,Netherlands / Holland,
オリエンタル,おりえんたる,Oriental,
オリエント,おりえんと,Orient,
オリゴマー,おりごまー,oligomer,
オリジナル,おりじなる,original,
オリンピック,おりんぴっく,Olympics / Olympic Games,
オルガン,おるがん,organ (musical instrument),
オルグ,おるぐ,organizer / organiser,
オルゴール,おるごーる,music box / musical box,
オレンジ,おれんじ,"orange (fruit, colour)",
オンエア,おんえあ,(being) on air / (being) on the air / broadcasting,
オンス,おんす,ounce,
オンパレード,おんぱれーど,display / array (of things) / succession (of things),
オンブズマン,おんぶずまん,ombudsman,
オンライン,おんらいん,online,
カー,かー,car,
カースト,かーすと,caste,
カーチェイス,かーちぇいす,car chase,
カーテン,かーてん,curtain / curtains,
カーディガン,かーでぃがん,cardigan,
カート,かーと,(shopping) cart,
カートリッジ,かーとりっじ,cartridge,
カード,かーど,"card (information, filing, etc.)",
カーニバル,かーにばる,carnival,
カーフェリー,かーふぇりー,car ferry,
カーブ,かーぶ,curve / turn / bend,
カーペット,かーぺっと,carpet,
カーボン,かーぼん,carbon,
カーリング,かーりんぐ,curling,
カール,かーる,curl (of hair) / ringlet,
カーレース,かーれーす,car race,
カーン,かーん,kern,
カイト,かいと,kite,
カウチポテト,かうちぽてと,couch potato / television addict,
カウボーイ,かうぼーい,cowboy,
カウンセラー,かうんせらー,counselor / counsellor,
カウンター,かうんたー,counter / counting device,
カウント,かうんと,count / counting,
カオス,かおす,chaos,
カクテル,かくてる,cocktail,
カサカサ,かさかさ,dry and rough / desiccated,
カジノ,かじの,casino,
カジュアル,かじゅある,casual / informal,
カスタム,かすたむ,custom / custom-made / custom-built,
カスバ,かすば,kasbah / casbah / qasbah,
カセット,かせっと,cassette (tape),
型録,かたろぐ,catalog / catalogue,
カッター,かったー,cutter / cutting tool,
